"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"2181",16219,2181,"TheSongMsgs","All I know is I love you too much to walk away.","Eminem ft. Rihanna","Song Lyric",550,512,"walk","away","much"
"2182",16228,2182,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",529,404,"nevermind","someon","ill"
"2183",16229,2183,"TheSongMsgs","The worst things in life come free to us.","Ed Sheeran","Song Lyric",423,386,"free","worst","come"
"2184",16235,2184,"TheSongMsgs","You're an asshole but I love you","Pink","Song Lyric",416,373,"asshol","your","love"
"2185",16236,2185,"TheSongMsgs","I tell myself that I'll be strong.","Ellie Goulding","Song Lyric",534,378,"strong","tell","ill"
"2186",16239,2186,"TheSongMsgs","and I hate that I love you.","Rihanna","Song Lyric",550,444,"hate","love",NA
"2187",16241,2187,"TheSongMsgs","Kiss me like it's do or die","Jason Derulo","Song Lyric",202,214,"kiss","die","like"
"2188",16244,2188,"TheSongMsgs","I tell myself that I'll be strong.","Ellie Goulding","Song Lyric",612,445,"strong","tell","ill"
"2189",16245,2189,"TheSongMsgs","Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",600,486,"dream","end","happi"
"2190",16247,2190,"TheSongMsgs","I'm scared you'll forget about me.","John Mayer","Song Lyric",657,474,"scare","youll","forget"
"2191",16255,2191,"TheSongMsgs","Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",480,357,"dream","end","happi"
"2192",16257,2192,"TheSongMsgs","I can't say hello to you and risk another goodbye.","Taylor Swift","Song Lyric",2605,2022,"risk","goodby","anoth"
"2193",16260,2193,"TheSongMsgs","Life is rough, so you gotta be tough.","Johnny Cash","Song Lyric",514,419,"rough","tough","gotta"
"2194",16262,2194,"TheSongMsgs","I have died everyday waiting for you.","Christina Perri","Song Lyric",518,505,"everyday","wait","die"
"2195",16275,2195,"TheSongMsgs","I just want us back to the way we were before.","Luke Bryan","Song Lyric",648,531,"back","way","want"
"2196",16278,2196,"TheSongMsgs","The silence is slowly killing me","Maroon 5","Song Lyric",642,468,"slowli","silenc","kill"
"2197",16285,2197,"TheSongMsgs","I swear you're giving me a heart attack","Olly Murs","Song Lyric",352,340,"attack","swear","give"
